id_cuaca,tanggal,lokasi_kode,latitude,longitude,zona_waktu,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,angin_arah_derajat,tekanan_hpa_avg,visibilitas_km_avg,wet_bulb_c,petir_count
CWC_20250301_PIT_A,2025-03-01 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,60.4,0.91,Lebat,26.7,33,65.6,3.7,9.1,200,1014.7,9.8,25.6,0
CWC_20250301_PIT_B,2025-03-01 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,67.7,0.77,Lebat,25,29.4,68,2.1,8,24,1013.2,8.2,23.3,0
CWC_20250301_ROAD_01,2025-03-01 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,79.8,0.3,Lebat,23.4,27.9,67,2.4,8,194,1011.9,6,20.9,0
CWC_20250301_STOCKPILE,2025-03-01 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,37.2,0.91,Sedang,25.5,31.2,66.8,0.9,3.7,228,1007.5,6.8,24.5,0
CWC_20250301_PORT,2025-03-01 00:00:00,PORT,-1.93,116.95,Asia/Makassar,9.9,0.3,Ringan,26.7,31.2,77.5,3.2,9.1,31,1012.1,9.8,24.4,0
CWC_20250302_PIT_A,2025-03-02 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,68,0.77,Lebat,23.7,29.4,81.5,1.2,6,272,1006.2,6.5,22.1,10
CWC_20250302_PIT_B,2025-03-02 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,32.3,0.82,Sedang,26,33.5,83.3,4.2,8.8,196,1012.1,5.7,23.1,0
CWC_20250302_ROAD_01,2025-03-02 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,45.4,0.78,Sedang,24.9,30.6,75.6,0.8,5.2,196,1013.9,7.5,22.4,10
CWC_20250302_STOCKPILE,2025-03-02 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,8.1,0.7,Ringan,23.8,30.1,69.8,0.7,2.4,262,1005.6,7.4,21.7,0
CWC_20250302_PORT,2025-03-02 00:00:00,PORT,-1.93,116.95,Asia/Makassar,27.8,0.7,Sedang,25.7,33.7,94.9,3.9,6.6,283,1008.4,7.9,22.8,0
CWC_20250303_PIT_A,2025-03-03 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,47.6,0.77,Sedang,25.4,30.9,92.7,1.7,7.1,98,1005.2,5.3,23.5,0
CWC_20250303_PIT_B,2025-03-03 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,7.7,0.77,Ringan,27,31.9,78.6,3.6,9.4,240,1009.2,7.6,25.5,0
CWC_20250303_ROAD_01,2025-03-03 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,21.9,0.18,Sedang,23.3,27.8,82.6,3.2,8.7,285,1009.8,5.7,21.4,0
CWC_20250303_STOCKPILE,2025-03-03 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,55.5,0.86,Lebat,26.1,31.8,90.9,0.8,2.9,322,1006.4,8.4,23.8,0
CWC_20250303_PORT,2025-03-03 00:00:00,PORT,-1.93,116.95,Asia/Makassar,37.3,0.09,Sedang,26.8,34.1,68.9,2.4,7,146,1006.5,9.6,24.2,6
CWC_20250304_PIT_A,2025-03-04 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,33.1,0.02,Sedang,26.9,32.9,75.3,1.6,4.8,154,1010.1,5.3,25.4,0
CWC_20250304_PIT_B,2025-03-04 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,6.3,0.39,Ringan,23.4,29.7,65.8,2.5,6.1,4,1014.3,9.9,21.8,0
CWC_20250304_ROAD_01,2025-03-04 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,13.5,0.27,Ringan,26.5,32.8,65.3,2.6,6.7,240,1012,5.5,24.4,0
CWC_20250304_STOCKPILE,2025-03-04 00:00:00,STOCKPILE,-1.94,116.92,Asia/Makassar,57,0.94,Lebat,26.1,30.8,67.5,1.4,3.7,236,1011.8,9.2,24.5,0
CWC_20250304_PORT,2025-03-04 00:00:00,PORT,-1.93,116.95,Asia/Makassar,27,0.85,Sedang,25,31.5,92.2,4.1,9.2,349,1007.9,5.3,22.1,0
CWC_20250305_PIT_A,2025-03-05 00:00:00,PIT_A,-1.95,116.85,Asia/Makassar,74.8,0.47,Lebat,24.6,32.3,79.5,0.7,5.5,74,1011.7,5.4,23.2,0
CWC_20250305_PIT_B,2025-03-05 00:00:00,PIT_B,-1.97,116.88,Asia/Makassar,35.4,0.71,Sedang,24,31.1,94.3,0.5,4.7,272,1006.4,10,22.4,0
CWC_20250305_ROAD_01,2025-03-05 00:00:00,ROAD_01,-1.96,116.9,Asia/Makassar,28.9,0.18,Sedang,26.6,31.4,86,4.1,9.4,20,1014.6,10,25.1,0
