id_record,id_alat,tanggal_operasi,shift,jam_mulai,jam_selesai,status_operasi,durasi_jam,material_dipindah,total_muatan_ton,jumlah_ritase,id_operator,lokasi_kode_final,tipe_alat,model_alat,kapasitas_default_ton,departemen,umur_tahun,kondisi,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,petir_count,label_breakdown_shift_ini,label_breakdown_next_24h
OPRREC_0000001,ALAT_047,2025-07-01,Shift 2,14:00:00,17:43:00,Standby,3.72,Overburden,0.0,0,OPR_046,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000002,ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,5.33,Overburden,1653.1,17,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000003,ALAT_082,2025-07-01,Shift 3,22:00:00,23:50:00,Standby,1.84,Overburden,0.0,0,OPR_012,PIT_B,Dump Truck,CAT 785C,107.8,Overburden Hauling,8.0,Rusak Ringan,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000004,ALAT_082,2025-07-01,Shift 1,06:00:00,11:50:00,Beroperasi,5.84,Overburden,819.8,7,OPR_120,PIT_B,Dump Truck,CAT 785C,107.8,Overburden Hauling,8.0,Rusak Ringan,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000005,ALAT_037,2025-07-01,Shift 2,14:00:00,18:42:00,Beroperasi,4.71,None,0.0,0,OPR_042,PIT_A,Bulldozer,Komatsu D85ESS,18.9,Infrastructure,8.5,Perlu Servis,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000006,ALAT_005,2025-07-01,Shift 3,22:00:00,04:36:00,Beroperasi,6.6,Coal,1140.0,16,OPR_117,ROAD_01,Dump Truck,CAT 785C,87.3,Coal Hauling,0.1,Sangat Baik,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000007,ALAT_013,2025-07-01,Shift 3,22:00:00,05:12:00,Beroperasi,7.21,None,0.0,0,OPR_124,ROAD_01,Grader,CAT 140K,21.8,Road Maintenance,9.4,Rusak Ringan,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000008,ALAT_053,2025-07-01,Shift 3,22:00:00,01:06:00,Beroperasi,3.1,Overburden,27.3,12,OPR_123,PIT_A,Excavator,Volvo EC210,2.2,Overburden,4.3,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000009,ALAT_053,2025-07-01,Shift 1,06:00:00,09:07:00,Beroperasi,3.12,Overburden,42.5,18,OPR_036,PIT_A,Excavator,Volvo EC210,2.2,Overburden,4.3,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000010,ALAT_061,2025-07-01,Shift 1,06:00:00,10:34:00,Beroperasi,4.58,None,0.0,0,OPR_051,PIT_B,Bulldozer,Komatsu D85ESS,26.1,Infrastructure,8.7,Rusak Ringan,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000011,ALAT_061,2025-07-01,Shift 3,22:00:00,05:01:00,Beroperasi,7.03,None,0.0,0,OPR_038,PIT_B,Bulldozer,Komatsu D85ESS,26.1,Infrastructure,8.7,Rusak Ringan,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000012,ALAT_032,2025-07-01,Shift 2,14:00:00,15:21:00,Breakdown,1.36,Overburden,0.0,0,OPR_008,PIT_A,Excavator,CAT 320D,2.0,Overburden,9.1,Rusak Ringan,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,1,1
OPRREC_0000013,ALAT_032,2025-07-01,Shift 1,06:00:00,13:24:00,Beroperasi,7.4,Overburden,17.2,10,OPR_078,PIT_A,Excavator,CAT 320D,2.0,Overburden,9.1,Rusak Ringan,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,1
OPRREC_0000014,ALAT_045,2025-07-01,Shift 3,22:00:00,01:53:00,Breakdown,3.89,Coal,0.0,0,OPR_116,PIT_B,Wheel Loader,Volvo L120H,4.0,Coal Loading,1.7,Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,1,1
OPRREC_0000015,ALAT_045,2025-07-01,Shift 2,14:00:00,15:01:00,Breakdown,1.03,Coal,0.0,0,OPR_097,PIT_B,Wheel Loader,Volvo L120H,4.0,Coal Loading,1.7,Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,1,1
OPRREC_0000016,ALAT_040,2025-07-01,Shift 1,06:00:00,13:08:00,Beroperasi,7.14,Coal,1452.1,15,OPR_111,ROAD_01,Dump Truck,Volvo A40G,100.9,Coal Hauling,2.0,Sangat Baik,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000017,ALAT_040,2025-07-01,Shift 2,14:00:00,15:34:00,Maintenance,1.58,Coal,0.0,0,OPR_044,ROAD_01,Dump Truck,Volvo A40G,100.9,Coal Hauling,2.0,Sangat Baik,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000018,ALAT_038,2025-07-01,Shift 2,14:00:00,21:27:00,Beroperasi,7.45,Overburden,935.0,7,OPR_142,ROAD_01,Dump Truck,Komatsu HD785,147.2,Overburden Hauling,0.1,Sangat Baik,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000019,ALAT_038,2025-07-01,Shift 1,06:00:00,08:59:00,Standby,2.99,Overburden,0.0,0,OPR_004,ROAD_01,Dump Truck,Komatsu HD785,147.2,Overburden Hauling,0.1,Sangat Baik,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000020,ALAT_059,2025-07-01,Shift 1,06:00:00,09:44:00,Beroperasi,3.74,Coal,34.4,7,OPR_032,PIT_B,Wheel Loader,Doosan DL300,5.0,Coal Loading,8.2,Perlu Servis,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000021,ALAT_067,2025-07-01,Shift 2,14:00:00,16:48:00,Maintenance,2.81,Overburden,0.0,0,OPR_082,PIT_A,Excavator,Volvo EC210,3.1,Overburden,4.0,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000022,ALAT_067,2025-07-01,Shift 3,22:00:00,23:31:00,Standby,1.53,Overburden,0.0,0,OPR_136,PIT_A,Excavator,Volvo EC210,3.1,Overburden,4.0,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000023,ALAT_068,2025-07-01,Shift 3,22:00:00,01:57:00,Maintenance,3.96,Coal,0.0,0,OPR_113,PIT_A,Excavator,Hitachi ZX200,4.4,Coal Loading,2.4,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000024,ALAT_068,2025-07-01,Shift 2,14:00:00,19:00:00,Beroperasi,5.01,Coal,53.2,15,OPR_135,PIT_A,Excavator,Hitachi ZX200,4.4,Coal Loading,2.4,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000025,ALAT_033,2025-07-01,Shift 2,14:00:00,16:07:00,Breakdown,2.13,Overburden,0.0,0,OPR_128,PIT_B,Excavator,Volvo EC210,1.6,Overburden,9.5,Perlu Servis,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,1,1
OPRREC_0000026,ALAT_033,2025-07-01,Shift 3,22:00:00,03:58:00,Beroperasi,5.97,Overburden,22.8,14,OPR_147,PIT_B,Excavator,Volvo EC210,1.6,Overburden,9.5,Perlu Servis,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,1
OPRREC_0000027,ALAT_006,2025-07-01,Shift 3,22:00:00,02:49:00,Beroperasi,4.82,Overburden,48.1,10,OPR_070,PIT_A,Excavator,Hitachi ZX200,4.6,Overburden,5.3,Perlu Servis,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000028,ALAT_087,2025-07-01,Shift 2,14:00:00,15:05:00,Standby,1.09,Coal,0.0,0,OPR_113,PIT_A,Wheel Loader,Doosan DL300,8.9,Coal Loading,8.6,Rusak Ringan,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000029,ALAT_087,2025-07-01,Shift 1,06:00:00,11:24:00,Beroperasi,5.41,Coal,43.2,5,OPR_066,PIT_A,Wheel Loader,Doosan DL300,8.9,Coal Loading,8.6,Rusak Ringan,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000030,ALAT_034,2025-07-01,Shift 2,14:00:00,14:38:00,Standby,0.64,Coal,0.0,0,OPR_070,STOCKPILE,Excavator,Hitachi ZX200,2.8,Coal Loading,0.9,Sangat Baik,0.0,0.14,Cerah,26.1,31.6,69.8,2.9,4.7,0,0,0
OPRREC_0000031,ALAT_034,2025-07-01,Shift 3,22:00:00,03:34:00,Beroperasi,5.57,Coal,18.8,7,OPR_141,STOCKPILE,Excavator,Hitachi ZX200,2.8,Coal Loading,0.9,Sangat Baik,0.0,0.14,Cerah,26.1,31.6,69.8,2.9,4.7,0,0,0
OPRREC_0000032,ALAT_012,2025-07-01,Shift 1,06:00:00,11:37:00,Beroperasi,5.62,Coal,1916.6,18,OPR_019,PORT,Dump Truck,Belaz 7555,108.6,Coal Hauling,7.6,Baik,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,2,0,0
OPRREC_0000033,ALAT_012,2025-07-01,Shift 3,22:00:00,04:12:00,Beroperasi,6.21,Coal,1399.6,14,OPR_111,PORT,Dump Truck,Belaz 7555,108.6,Coal Hauling,7.6,Baik,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,2,0,0
OPRREC_0000034,ALAT_050,2025-07-01,Shift 3,22:00:00,04:36:00,Beroperasi,6.6,None,0.0,0,OPR_079,ROAD_01,Grader,CAT 140K,19.7,Road Maintenance,8.4,Rusak Ringan,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000035,ALAT_050,2025-07-01,Shift 2,14:00:00,19:28:00,Beroperasi,5.48,None,0.0,0,OPR_008,ROAD_01,Grader,CAT 140K,19.7,Road Maintenance,8.4,Rusak Ringan,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000036,ALAT_023,2025-07-01,Shift 2,14:00:00,21:08:00,Beroperasi,7.14,None,0.0,0,OPR_092,ROAD_01,Grader,John Deere 772G,21.7,Road Maintenance,9.4,Rusak Ringan,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000037,ALAT_023,2025-07-01,Shift 1,06:00:00,08:28:00,Standby,2.48,None,0.0,0,OPR_107,ROAD_01,Grader,John Deere 772G,21.7,Road Maintenance,9.4,Rusak Ringan,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000038,ALAT_099,2025-07-01,Shift 1,06:00:00,10:34:00,Beroperasi,4.58,Coal,28.9,10,OPR_081,PIT_A,Wheel Loader,Doosan DL300,3.6,Coal Loading,7.1,Perlu Servis,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000039,ALAT_016,2025-07-01,Shift 2,14:00:00,20:21:00,Beroperasi,6.35,Coal,522.9,5,OPR_092,PORT,Dump Truck,CAT 785C,126.5,Coal Hauling,2.9,Sangat Baik,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,2,0,0
OPRREC_0000040,ALAT_010,2025-07-01,Shift 2,14:00:00,17:41:00,Standby,3.69,Coal,0.0,0,OPR_064,STOCKPILE,Wheel Loader,Doosan DL300,3.5,Stockpile,0.3,Sangat Baik,0.0,0.14,Cerah,26.1,31.6,69.8,2.9,4.7,0,0,0
OPRREC_0000041,ALAT_024,2025-07-01,Shift 1,06:00:00,10:39:00,Beroperasi,4.65,Overburden,442.3,18,OPR_126,PIT_B,Bulldozer,Komatsu D85ESS,29.7,Overburden,3.2,Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000042,ALAT_024,2025-07-01,Shift 2,14:00:00,19:06:00,Beroperasi,5.1,Overburden,335.4,13,OPR_011,PIT_B,Bulldozer,Komatsu D85ESS,29.7,Overburden,3.2,Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000043,ALAT_043,2025-07-01,Shift 3,22:00:00,03:39:00,Beroperasi,5.66,Overburden,24.8,12,OPR_018,PIT_A,Excavator,CAT 320D,2.0,Overburden,4.7,Sangat Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000044,ALAT_043,2025-07-01,Shift 1,06:00:00,10:42:00,Beroperasi,4.7,Overburden,14.4,9,OPR_005,PIT_A,Excavator,CAT 320D,2.0,Overburden,4.7,Sangat Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000045,ALAT_046,2025-07-01,Shift 1,06:00:00,08:33:00,Breakdown,2.55,Overburden,0.0,0,OPR_056,PIT_B,Dump Truck,Belaz 7555,94.5,Overburden Hauling,2.6,Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,1,1
OPRREC_0000046,ALAT_046,2025-07-01,Shift 2,14:00:00,16:05:00,Breakdown,2.09,Overburden,0.0,0,OPR_045,PIT_B,Dump Truck,Belaz 7555,94.5,Overburden Hauling,2.6,Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,1,1
OPRREC_0000047,ALAT_095,2025-07-01,Shift 2,14:00:00,16:05:00,Standby,2.09,Coal,0.0,0,OPR_097,STOCKPILE,Excavator,CAT 320D,1.3,Coal Loading,5.1,Perlu Servis,0.0,0.14,Cerah,26.1,31.6,69.8,2.9,4.7,0,0,0
OPRREC_0000048,ALAT_081,2025-07-01,Shift 2,14:00:00,20:15:00,Beroperasi,6.25,Overburden,308.0,11,OPR_054,PIT_A,Bulldozer,Shantui SD22,29.3,Overburden,2.9,Sangat Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000049,ALAT_081,2025-07-01,Shift 3,22:00:00,03:08:00,Beroperasi,5.14,Overburden,184.4,6,OPR_015,PIT_A,Bulldozer,Shantui SD22,29.3,Overburden,2.9,Sangat Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000050,ALAT_094,2025-07-01,Shift 2,14:00:00,20:37:00,Beroperasi,6.62,Coal,98.0,11,OPR_005,PIT_A,Wheel Loader,Volvo L120H,8.7,Coal Loading,3.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000051,ALAT_041,2025-07-01,Shift 1,06:00:00,13:13:00,Beroperasi,7.22,None,0.0,0,OPR_031,ROAD_01,Grader,Volvo G940B,21.9,Infrastructure,0.4,Sangat Baik,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000052,ALAT_041,2025-07-01,Shift 3,22:00:00,03:33:00,Beroperasi,5.55,None,0.0,0,OPR_041,ROAD_01,Grader,Volvo G940B,21.9,Infrastructure,0.4,Sangat Baik,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000053,ALAT_065,2025-07-01,Shift 1,06:00:00,13:00:00,Beroperasi,7.01,Coal,13.9,16,OPR_124,STOCKPILE,Excavator,Hitachi ZX200,1.0,Coal Loading,3.2,Baik,0.0,0.14,Cerah,26.1,31.6,69.8,2.9,4.7,0,0,0
OPRREC_0000054,ALAT_025,2025-07-01,Shift 1,06:00:00,08:34:00,Standby,2.57,None,0.0,0,OPR_052,ROAD_01,Grader,CAT 140K,24.1,Infrastructure,9.7,Rusak Ringan,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000055,ALAT_078,2025-07-01,Shift 1,06:00:00,10:50:00,Beroperasi,4.84,None,0.0,0,OPR_147,ROAD_01,Grader,John Deere 772G,13.6,Infrastructure,9.2,Rusak Ringan,0.0,0.04,Cerah,25.6,31.2,73.6,1.2,3.0,0,0,0
OPRREC_0000056,ALAT_014,2025-07-01,Shift 2,14:00:00,18:54:00,Beroperasi,4.91,Coal,1383.2,15,OPR_127,PORT,Dump Truck,Belaz 7555,98.2,Coal Hauling,1.4,Sangat Baik,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,2,0,0
OPRREC_0000057,ALAT_089,2025-07-01,Shift 3,22:00:00,03:03:00,Beroperasi,5.05,Overburden,66.5,15,OPR_003,PIT_A,Excavator,Hitachi ZX200,4.5,Overburden,6.3,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000058,ALAT_089,2025-07-01,Shift 1,06:00:00,13:39:00,Beroperasi,7.65,Overburden,86.7,18,OPR_130,PIT_A,Excavator,Hitachi ZX200,4.5,Overburden,6.3,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0,0
OPRREC_0000059,ALAT_083,2025-07-01,Shift 2,14:00:00,18:03:00,Beroperasi,4.06,Overburden,1176.4,11,OPR_004,PIT_B,Dump Truck,Komatsu HD785,120.5,Overburden Hauling,2.3,Sangat Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
OPRREC_0000060,ALAT_083,2025-07-01,Shift 1,06:00:00,10:30:00,Beroperasi,4.51,Overburden,1540.6,12,OPR_116,PIT_B,Dump Truck,Komatsu HD785,120.5,Overburden Hauling,2.3,Sangat Baik,0.0,0.01,Cerah,25.3,31.5,68.7,1.2,3.6,0,0,0
