id_record_jalan,timestamp_utc,lokasi_kode,id_segmen_jalan,sumber_data,status_jalan,alasan_status,panjang_segmen_km,tipe_permukaan,kemiringan_pct,tikungan_kelas,kedalaman_air_cm,indeks_friksi,batas_kecepatan_km_jam,kecepatan_aktual_km_jam,waktu_tempuh_menit,ritase_terobservasi,Speed drop,Risk Indicator
JREC_0000001,2025-06-30T22:00:00Z,PIT_A,SEG_PIT_A_01,Manual Survey,BAIK,Normal,2.64,Coal Road,3.4,A,0.0,0.5,30,18.9,8.4,0,37.0,Hijau
JREC_0000015,2025-06-30T22:00:00Z,PORT,SEG_PORT_03,Operator App,BAIK,Normal,2.25,Gravel,5.7,C,0.5,0.59,35,18.7,7.2,0,46.57142857,Hijau
JREC_0000004,2025-06-30T22:00:00Z,PIT_B,SEG_PIT_B_01,Manual Survey,BAIK,Normal,1.74,Laterite,9.6,B,0.0,0.55,25,14.9,7.0,0,40.4,Hijau
JREC_0000007,2025-06-30T22:00:00Z,ROAD_01,SEG_ROAD_01_01,IoT Sensor,BAIK,Normal,1.96,Asphalt,4.5,B,0.0,0.75,50,39.1,3.0,0,21.8,Hijau
JREC_0000008,2025-06-30T22:00:00Z,ROAD_01,SEG_ROAD_01_02,Drone Survey,BAIK,Normal,2.1,Laterite,7.1,C,0.1,0.55,30,14.9,8.5,1,50.33333333,Hijau
JREC_0000009,2025-06-30T22:00:00Z,ROAD_01,SEG_ROAD_01_03,Drone Survey,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,0,31.8,Hijau
JREC_0000006,2025-06-30T22:00:00Z,PIT_B,SEG_PIT_B_03,IoT Sensor,BAIK,Normal,2.42,Coal Road,6.7,A,0.1,0.5,25,15.8,9.2,1,36.8,Hijau
JREC_0000028,2025-06-30T23:00:00Z,PORT,SEG_PORT_01,Drone Survey,BAIK,Normal,1.76,Asphalt,5.1,C,0.0,0.75,45,30.7,3.4,0,31.77777778,Hijau
JREC_0000016,2025-06-30T23:00:00Z,PIT_A,SEG_PIT_A_01,Operator App,BAIK,Normal,2.64,Coal Road,3.4,A,0.0,0.5,30,18.9,8.4,0,37.0,Hijau
JREC_0000024,2025-06-30T23:00:00Z,ROAD_01,SEG_ROAD_01_03,Operator App,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,1,31.8,Hijau
JREC_0000020,2025-06-30T23:00:00Z,PIT_B,SEG_PIT_B_02,Operator App,BAIK,Normal,0.99,Laterite,0.3,D,0.1,0.55,35,13.9,4.3,0,60.28571429,Hijau
JREC_0000027,2025-06-30T23:00:00Z,STOCKPILE,SEG_STOCKPILE_03,IoT Sensor,BAIK,Normal,2.83,Gravel,6.3,A,0.0,0.6,35,25.3,6.7,1,27.71428571,Hijau
JREC_0000018,2025-06-30T23:00:00Z,PIT_A,SEG_PIT_A_03,Manual Survey,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,0,37.0,Hijau
JREC_0000030,2025-06-30T23:00:00Z,PORT,SEG_PORT_03,Drone Survey,BAIK,Normal,2.25,Gravel,5.7,C,0.0,0.6,35,19.0,7.1,0,45.71428571,Hijau
JREC_0000021,2025-06-30T23:00:00Z,PIT_B,SEG_PIT_B_03,IoT Sensor,BAIK,Normal,2.42,Coal Road,6.7,A,0.0,0.5,25,15.8,9.2,1,36.8,Hijau
JREC_0000034,2025-07-01T00:00:00Z,PIT_B,SEG_PIT_B_01,Operator App,BAIK,Normal,1.74,Laterite,9.6,B,0.6,0.54,25,14.7,7.1,0,41.2,Hijau
JREC_0000043,2025-07-01T00:00:00Z,PORT,SEG_PORT_01,Operator App,BAIK,Normal,1.76,Asphalt,5.1,C,0.0,0.75,45,30.7,3.4,1,31.77777778,Hijau
JREC_0000040,2025-07-01T00:00:00Z,STOCKPILE,SEG_STOCKPILE_01,Drone Survey,BAIK,Normal,2.86,Asphalt,3.4,B,0.0,0.75,50,39.1,4.4,2,21.8,Hijau
JREC_0000035,2025-07-01T00:00:00Z,PIT_B,SEG_PIT_B_02,Operator App,BAIK,Normal,0.99,Laterite,0.3,D,0.5,0.55,35,13.9,4.3,0,60.28571429,Hijau
JREC_0000039,2025-07-01T00:00:00Z,ROAD_01,SEG_ROAD_01_03,Drone Survey,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,1,31.8,Hijau
JREC_0000042,2025-07-01T00:00:00Z,STOCKPILE,SEG_STOCKPILE_03,Operator App,BAIK,Normal,2.83,Gravel,6.3,A,0.0,0.6,35,25.3,6.7,1,27.71428571,Hijau
JREC_0000036,2025-07-01T00:00:00Z,PIT_B,SEG_PIT_B_03,Operator App,BAIK,Normal,2.42,Coal Road,6.7,A,0.2,0.5,25,15.8,9.2,0,36.8,Hijau
JREC_0000032,2025-07-01T00:00:00Z,PIT_A,SEG_PIT_A_02,Manual Survey,BAIK,Normal,1.27,Asphalt,5.4,B,0.9,0.74,45,34.8,2.2,2,22.66666667,Hijau
JREC_0000037,2025-07-01T00:00:00Z,ROAD_01,SEG_ROAD_01_01,IoT Sensor,BAIK,Normal,1.96,Asphalt,4.5,B,0.0,0.75,50,39.1,3.0,2,21.8,Hijau
JREC_0000044,2025-07-01T00:00:00Z,PORT,SEG_PORT_02,Operator App,BAIK,Normal,2.85,Coal Road,3.9,D,0.0,0.5,30,10.5,16.3,0,65.0,Hijau
JREC_0000031,2025-07-01T00:00:00Z,PIT_A,SEG_PIT_A_01,IoT Sensor,BAIK,Normal,2.64,Coal Road,3.4,A,0.0,0.5,30,18.9,8.4,0,37.0,Hijau
JREC_0000045,2025-07-01T00:00:00Z,PORT,SEG_PORT_03,Manual Survey,BAIK,Normal,2.25,Gravel,5.7,C,0.0,0.6,35,19.0,7.1,1,45.71428571,Hijau
JREC_0000058,2025-07-01T01:00:00Z,PORT,SEG_PORT_01,Operator App,BAIK,Normal,1.76,Asphalt,5.1,C,0.2,0.75,45,30.7,3.4,1,31.77777778,Hijau
JREC_0000060,2025-07-01T01:00:00Z,PORT,SEG_PORT_03,IoT Sensor,BAIK,Normal,2.25,Gravel,5.7,C,0.0,0.6,35,19.0,7.1,1,45.71428571,Hijau
JREC_0000051,2025-07-01T01:00:00Z,PIT_B,SEG_PIT_B_03,Drone Survey,BAIK,Normal,2.42,Coal Road,6.7,A,0.0,0.5,25,15.8,9.2,0,36.8,Hijau
JREC_0000047,2025-07-01T01:00:00Z,PIT_A,SEG_PIT_A_02,IoT Sensor,BAIK,Normal,1.27,Asphalt,5.4,B,0.0,0.75,45,35.2,2.2,1,21.77777778,Hijau
JREC_0000055,2025-07-01T01:00:00Z,STOCKPILE,SEG_STOCKPILE_01,Manual Survey,BAIK,Normal,2.86,Asphalt,3.4,B,0.9,0.74,50,38.6,4.4,3,22.8,Hijau
JREC_0000052,2025-07-01T01:00:00Z,ROAD_01,SEG_ROAD_01_01,Operator App,BAIK,Normal,1.96,Asphalt,4.5,B,0.0,0.75,50,39.1,3.0,1,21.8,Hijau
JREC_0000053,2025-07-01T01:00:00Z,ROAD_01,SEG_ROAD_01_02,Drone Survey,BAIK,Normal,2.1,Laterite,7.1,C,0.0,0.55,30,14.9,8.5,0,50.33333333,Hijau
JREC_0000048,2025-07-01T01:00:00Z,PIT_A,SEG_PIT_A_03,Operator App,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,0,37.0,Hijau
JREC_0000050,2025-07-01T01:00:00Z,PIT_B,SEG_PIT_B_02,Operator App,BAIK,Normal,0.99,Laterite,0.3,D,0.0,0.55,35,13.9,4.3,0,60.28571429,Hijau
JREC_0000071,2025-07-01T02:00:00Z,STOCKPILE,SEG_STOCKPILE_02,Drone Survey,BAIK,Normal,1.44,Coal Road,4.4,C,0.3,0.5,30,13.5,6.4,0,55.0,Hijau
JREC_0000066,2025-07-01T02:00:00Z,PIT_B,SEG_PIT_B_03,IoT Sensor,BAIK,Normal,2.42,Coal Road,6.7,A,1.5,0.48,25,15.3,9.5,0,38.8,Hijau
JREC_0000064,2025-07-01T02:00:00Z,PIT_B,SEG_PIT_B_01,Manual Survey,BAIK,Normal,1.74,Laterite,9.6,B,0.0,0.55,25,14.9,7.0,1,40.4,Hijau
JREC_0000074,2025-07-01T02:00:00Z,PORT,SEG_PORT_02,Manual Survey,BAIK,Normal,2.85,Coal Road,3.9,D,0.0,0.5,30,10.5,16.3,1,65.0,Hijau
JREC_0000063,2025-07-01T02:00:00Z,PIT_A,SEG_PIT_A_03,Operator App,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,0,37.0,Hijau
JREC_0000073,2025-07-01T02:00:00Z,PORT,SEG_PORT_01,IoT Sensor,BAIK,Normal,1.76,Asphalt,5.1,C,1.2,0.74,45,30.3,3.5,1,32.66666667,Hijau
JREC_0000069,2025-07-01T02:00:00Z,ROAD_01,SEG_ROAD_01_03,Drone Survey,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,3,31.8,Hijau
JREC_0000062,2025-07-01T02:00:00Z,PIT_A,SEG_PIT_A_02,IoT Sensor,BAIK,Normal,1.27,Asphalt,5.4,B,0.5,0.74,45,34.8,2.2,2,22.66666667,Hijau
JREC_0000080,2025-07-01T03:00:00Z,PIT_B,SEG_PIT_B_02,Manual Survey,BAIK,Normal,0.99,Laterite,0.3,D,1.0,0.54,35,13.6,4.4,1,61.14285714,Hijau
JREC_0000085,2025-07-01T03:00:00Z,STOCKPILE,SEG_STOCKPILE_01,IoT Sensor,BAIK,Normal,2.86,Asphalt,3.4,B,0.6,0.74,50,38.6,4.4,3,22.8,Hijau
JREC_0000089,2025-07-01T03:00:00Z,PORT,SEG_PORT_02,IoT Sensor,BAIK,Normal,2.85,Coal Road,3.9,D,0.5,0.49,30,10.2,16.8,0,66.0,Hijau
JREC_0000086,2025-07-01T03:00:00Z,STOCKPILE,SEG_STOCKPILE_02,Manual Survey,BAIK,Normal,1.44,Coal Road,4.4,C,0.0,0.5,30,13.5,6.4,0,55.0,Hijau
JREC_0000082,2025-07-01T03:00:00Z,ROAD_01,SEG_ROAD_01_01,IoT Sensor,BAIK,Normal,1.96,Asphalt,4.5,B,0.0,0.75,50,39.1,3.0,0,21.8,Hijau
JREC_0000084,2025-07-01T03:00:00Z,ROAD_01,SEG_ROAD_01_03,Manual Survey,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,1,31.8,Hijau
JREC_0000096,2025-07-01T04:00:00Z,PIT_B,SEG_PIT_B_03,Manual Survey,BAIK,Normal,2.42,Coal Road,6.7,A,0.0,0.5,25,15.8,9.2,0,36.8,Hijau
JREC_0000093,2025-07-01T04:00:00Z,PIT_A,SEG_PIT_A_03,IoT Sensor,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,1,37.0,Hijau
JREC_0000104,2025-07-01T04:00:00Z,PORT,SEG_PORT_02,Operator App,BAIK,Normal,2.85,Coal Road,3.9,D,0.0,0.5,30,10.5,16.3,0,65.0,Hijau
JREC_0000100,2025-07-01T04:00:00Z,STOCKPILE,SEG_STOCKPILE_01,Operator App,BAIK,Normal,2.86,Asphalt,3.4,B,0.0,0.75,50,39.1,4.4,2,21.8,Hijau
JREC_0000091,2025-07-01T04:00:00Z,PIT_A,SEG_PIT_A_01,Drone Survey,BAIK,Normal,2.64,Coal Road,3.4,A,0.3,0.5,30,18.9,8.4,2,37.0,Hijau
JREC_0000095,2025-07-01T04:00:00Z,PIT_B,SEG_PIT_B_02,IoT Sensor,BAIK,Normal,0.99,Laterite,0.3,D,0.0,0.55,35,13.9,4.3,1,60.28571429,Hijau
JREC_0000102,2025-07-01T04:00:00Z,STOCKPILE,SEG_STOCKPILE_03,Drone Survey,BAIK,Normal,2.83,Gravel,6.3,A,0.8,0.59,35,25.0,6.8,0,28.57142857,Hijau
JREC_0000103,2025-07-01T04:00:00Z,PORT,SEG_PORT_01,IoT Sensor,BAIK,Normal,1.76,Asphalt,5.1,C,0.9,0.74,45,30.3,3.5,0,32.66666667,Hijau
JREC_0000097,2025-07-01T04:00:00Z,ROAD_01,SEG_ROAD_01_01,Drone Survey,BAIK,Normal,1.96,Asphalt,4.5,B,0.0,0.75,50,39.1,3.0,1,21.8,Hijau
JREC_0000108,2025-07-01T05:00:00Z,PIT_A,SEG_PIT_A_03,Drone Survey,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,0,37.0,Hijau
JREC_0000120,2025-07-01T05:00:00Z,PORT,SEG_PORT_03,Drone Survey,BAIK,Normal,2.25,Gravel,5.7,C,0.1,0.6,35,19.0,7.1,0,45.71428571,Hijau
JREC_0000117,2025-07-01T05:00:00Z,STOCKPILE,SEG_STOCKPILE_03,Drone Survey,BAIK,Normal,2.83,Gravel,6.3,A,0.9,0.59,35,25.0,6.8,2,28.57142857,Hijau
JREC_0000112,2025-07-01T05:00:00Z,ROAD_01,SEG_ROAD_01_01,IoT Sensor,BAIK,Normal,1.96,Asphalt,4.5,B,1.3,0.74,50,38.6,3.0,1,22.8,Hijau
JREC_0000114,2025-07-01T05:00:00Z,ROAD_01,SEG_ROAD_01_03,Operator App,BAIK,Normal,1.0,Asphalt,2.8,C,0.1,0.75,50,34.1,1.8,3,31.8,Hijau
JREC_0000116,2025-07-01T05:00:00Z,STOCKPILE,SEG_STOCKPILE_02,Operator App,BAIK,Normal,1.44,Coal Road,4.4,C,0.0,0.5,30,13.5,6.4,0,55.0,Hijau
JREC_0000107,2025-07-01T05:00:00Z,PIT_A,SEG_PIT_A_02,Operator App,BAIK,Normal,1.27,Asphalt,5.4,B,0.0,0.75,45,35.2,2.2,1,21.77777778,Hijau
JREC_0000115,2025-07-01T05:00:00Z,STOCKPILE,SEG_STOCKPILE_01,Manual Survey,BAIK,Normal,2.86,Asphalt,3.4,B,0.5,0.74,50,38.6,4.4,3,22.8,Hijau
JREC_0000111,2025-07-01T05:00:00Z,PIT_B,SEG_PIT_B_03,Operator App,BAIK,Normal,2.42,Coal Road,6.7,A,0.7,0.49,25,15.5,9.4,1,38.0,Hijau
JREC_0000131,2025-07-01T06:00:00Z,STOCKPILE,SEG_STOCKPILE_02,IoT Sensor,BAIK,Normal,1.44,Coal Road,4.4,C,0.1,0.5,30,13.5,6.4,0,55.0,Hijau
JREC_0000124,2025-07-01T06:00:00Z,PIT_B,SEG_PIT_B_01,Manual Survey,BAIK,Normal,1.74,Laterite,9.6,B,0.1,0.55,25,14.9,7.0,0,40.4,Hijau
JREC_0000135,2025-07-01T06:00:00Z,PORT,SEG_PORT_03,Operator App,TERBATAS,Perawatan/Insiden lokal,2.25,Gravel,5.7,C,0.5,0.59,35,18.7,7.2,0,46.57142857,Merah
JREC_0000132,2025-07-01T06:00:00Z,STOCKPILE,SEG_STOCKPILE_03,Drone Survey,BAIK,Normal,2.83,Gravel,6.3,A,1.3,0.59,35,25.0,6.8,2,28.57142857,Hijau
JREC_0000122,2025-07-01T06:00:00Z,PIT_A,SEG_PIT_A_02,Operator App,BAIK,Normal,1.27,Asphalt,5.4,B,0.0,0.75,45,35.2,2.2,3,21.77777778,Hijau
JREC_0000130,2025-07-01T06:00:00Z,STOCKPILE,SEG_STOCKPILE_01,IoT Sensor,BAIK,Normal,2.86,Asphalt,3.4,B,1.7,0.73,50,38.2,4.5,2,23.6,Hijau
JREC_0000134,2025-07-01T06:00:00Z,PORT,SEG_PORT_02,IoT Sensor,BAIK,Normal,2.85,Coal Road,3.9,D,0.3,0.5,30,10.5,16.3,1,65.0,Hijau
JREC_0000125,2025-07-01T06:00:00Z,PIT_B,SEG_PIT_B_02,Operator App,BAIK,Normal,0.99,Laterite,0.3,D,0.0,0.55,35,13.9,4.3,1,60.28571429,Hijau
JREC_0000129,2025-07-01T06:00:00Z,ROAD_01,SEG_ROAD_01_03,Manual Survey,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,1,31.8,Hijau
JREC_0000128,2025-07-01T06:00:00Z,ROAD_01,SEG_ROAD_01_02,Drone Survey,BAIK,Normal,2.1,Laterite,7.1,C,0.0,0.55,30,14.9,8.5,0,50.33333333,Hijau
JREC_0000150,2025-07-01T07:00:00Z,PORT,SEG_PORT_03,Manual Survey,BAIK,Normal,2.25,Gravel,5.7,C,0.0,0.6,35,19.0,7.1,0,45.71428571,Hijau
JREC_0000141,2025-07-01T07:00:00Z,PIT_B,SEG_PIT_B_03,Manual Survey,BAIK,Normal,2.42,Coal Road,6.7,A,0.1,0.5,25,15.8,9.2,0,36.8,Hijau
JREC_0000145,2025-07-01T07:00:00Z,STOCKPILE,SEG_STOCKPILE_01,IoT Sensor,BAIK,Normal,2.86,Asphalt,3.4,B,0.0,0.75,50,39.1,4.4,0,21.8,Hijau
JREC_0000148,2025-07-01T07:00:00Z,PORT,SEG_PORT_01,Operator App,BAIK,Normal,1.76,Asphalt,5.1,C,0.3,0.75,45,30.7,3.4,3,31.77777778,Hijau
JREC_0000140,2025-07-01T07:00:00Z,PIT_B,SEG_PIT_B_02,Drone Survey,BAIK,Normal,0.99,Laterite,0.3,D,0.9,0.54,35,13.6,4.4,1,61.14285714,Hijau
JREC_0000136,2025-07-01T07:00:00Z,PIT_A,SEG_PIT_A_01,Drone Survey,BAIK,Normal,2.64,Coal Road,3.4,A,0.0,0.5,30,18.9,8.4,0,37.0,Hijau
JREC_0000147,2025-07-01T07:00:00Z,STOCKPILE,SEG_STOCKPILE_03,Drone Survey,BAIK,Normal,2.83,Gravel,6.3,A,0.2,0.6,35,25.3,6.7,0,27.71428571,Hijau
JREC_0000138,2025-07-01T07:00:00Z,PIT_A,SEG_PIT_A_03,Drone Survey,BAIK,Normal,1.16,Coal Road,3.8,A,0.0,0.5,30,18.9,3.7,1,37.0,Hijau
JREC_0000159,2025-07-01T08:00:00Z,ROAD_01,SEG_ROAD_01_03,IoT Sensor,BAIK,Normal,1.0,Asphalt,2.8,C,0.0,0.75,50,34.1,1.8,3,31.8,Hijau
JREC_0000158,2025-07-01T08:00:00Z,ROAD_01,SEG_ROAD_01_02,Drone Survey,BAIK,Normal,2.1,Laterite,7.1,C,0.4,0.55,30,14.9,8.5,0,50.33333333,Hijau
JREC_0000161,2025-07-01T08:00:00Z,STOCKPILE,SEG_STOCKPILE_02,Drone Survey,BAIK,Normal,1.44,Coal Road,4.4,C,0.0,0.5,30,13.5,6.4,0,55.0,Hijau
JREC_0000151,2025-07-01T08:00:00Z,PIT_A,SEG_PIT_A_01,Drone Survey,BAIK,Normal,2.64,Coal Road,3.4,A,0.0,0.5,30,18.9,8.4,0,37.0,Hijau
JREC_0000177,2025-07-01T09:00:00Z,STOCKPILE,SEG_STOCKPILE_03,Drone Survey,BAIK,Normal,2.83,Gravel,6.3,A,0.0,0.6,35,25.3,6.7,2,27.71428571,Hijau
JREC_0000171,2025-07-01T09:00:00Z,PIT_B,SEG_PIT_B_03,IoT Sensor,BAIK,Normal,2.42,Coal Road,6.7,A,0.5,0.49,25,15.5,9.4,1,38.0,Hijau
JREC_0000168,2025-07-01T09:00:00Z,PIT_A,SEG_PIT_A_03,IoT Sensor,BAIK,Normal,1.16,Coal Road,3.8,A,0.6,0.49,30,18.6,3.7,0,38.0,Hijau
JREC_0000170,2025-07-01T09:00:00Z,PIT_B,SEG_PIT_B_02,Manual Survey,BAIK,Normal,0.99,Laterite,0.3,D,0.0,0.55,35,13.9,4.3,2,60.28571429,Hijau
JREC_0000178,2025-07-01T09:00:00Z,PORT,SEG_PORT_01,Drone Survey,BAIK,Normal,1.76,Asphalt,5.1,C,0.8,0.74,45,30.3,3.5,1,32.66666667,Hijau
JREC_0000169,2025-07-01T09:00:00Z,PIT_B,SEG_PIT_B_01,Manual Survey,BAIK,Normal,1.74,Laterite,9.6,B,0.0,0.55,25,14.9,7.0,0,40.4,Hijau
JREC_0000172,2025-07-01T09:00:00Z,ROAD_01,SEG_ROAD_01_01,IoT Sensor,BAIK,Normal,1.96,Asphalt,4.5,B,0.7,0.74,50,38.6,3.0,4,22.8,Hijau
JREC_0000174,2025-07-01T09:00:00Z,ROAD_01,SEG_ROAD_01_03,Drone Survey,BAIK,Normal,1.0,Asphalt,2.8,C,0.2,0.75,50,34.1,1.8,0,31.8,Hijau
JREC_0000184,2025-07-01T22:00:00Z,PIT_B,SEG_PIT_B_01,IoT Sensor,BAIK,Normal,1.74,Laterite,9.6,B,0.4,0.55,25,14.9,7.0,1,40.4,Hijau
JREC_0000186,2025-07-01T22:00:00Z,PIT_B,SEG_PIT_B_03,Operator App,BAIK,Normal,2.42,Coal Road,6.7,A,0.5,0.49,25,15.5,9.4,1,38.0,Hijau
JREC_0000189,2025-07-01T22:00:00Z,ROAD_01,SEG_ROAD_01_03,Drone Survey,BAIK,Normal,1.0,Asphalt,2.8,C,1.7,0.73,50,33.2,1.8,1,33.6,Hijau
JREC_0000183,2025-07-01T22:00:00Z,PIT_A,SEG_PIT_A_03,Manual Survey,BAIK,Normal,1.16,Coal Road,3.8,A,0.4,0.5,30,18.9,3.7,0,37.0,Hijau
JREC_0000195,2025-07-01T22:00:00Z,PORT,SEG_PORT_03,Drone Survey,BAIK,Normal,2.25,Gravel,5.7,C,1.3,0.59,35,18.7,7.2,1,46.57142857,Hijau
JREC_0000182,2025-07-01T22:00:00Z,PIT_A,SEG_PIT_A_02,Drone Survey,BAIK,Normal,1.27,Asphalt,5.4,B,0.0,0.75,45,35.2,2.2,2,21.77777778,Hijau
JREC_0000181,2025-07-01T22:00:00Z,PIT_A,SEG_PIT_A_01,Operator App,BAIK,Normal,2.64,Coal Road,3.4,A,1.0,0.49,30,18.6,8.5,2,38.0,Hijau
JREC_0000185,2025-07-01T22:00:00Z,PIT_B,SEG_PIT_B_02,Manual Survey,BAIK,Normal,0.99,Laterite,0.3,D,0.1,0.55,35,13.9,4.3,0,60.28571429,Hijau
