id_record,id_alat,tanggal_operasi,shift,jam_mulai,jam_selesai,status_operasi,durasi_jam,material_dipindah,total_muatan_ton,jumlah_ritase,id_operator,lokasi_kode,tgl_pembelian,umur_tahun,tipe_alat,kondisi,equipment_age_days,equipment_age_months,equipment_age_years,high_age_risk,mid_age_risk,new_equipment,daily_usage_hours,utilization_rate,high_usage_flag,low_usage_flag,overwork_flag,idle_flag,cumulative_hours_7d,cumulative_hours_30d,avg_daily_hours_7d,usage_variance_7d,days_since_last_record,overdue_maintenance_flag,critical_overdue_flag,maintenance_activity,maintenance_count_30d,breakdown_flag,standby_flag,operating_flag,breakdown_count_7d,breakdown_count_30d,breakdown_rate_30d,operating_rate_7d,health_score_age,health_score_maintenance,health_score_usage,health_score_breakdown,health_score_efficiency,equipment_health_score,health_category,condition_score,age_usage_interaction,age_breakdown_risk,critical_risk_flag,degradation_risk_flag,combined_risk_score,type_risk_profile
OPRREC_0000244,ALAT_001,2025-07-05,Shift 2,14:00:00,19:48:00,Beroperasi,5.81,Coal,816.4,9,OPR_108,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,5.81,0.24208333333333332,0,0,0,0,5.81,5.81,0.83,,,0,0,0,0.0,0,0,1,0.0,0.0,0.0,1.0,98.67403314917127,100,34.583333333333336,100.0,100.0,90.60962246777163,Good,100.0,0.031813826146475016,0.0,0,0,0.0,0.050256410256410255
OPRREC_0000245,ALAT_001,2025-07-05,Shift 1,06:00:00,07:48:00,Maintenance,1.8,Coal,0.0,0,OPR_016,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,1.8,0.075,0,1,0,0,7.609999999999999,7.609999999999999,1.087142857142857,2.8354981925580556,0.0,0,0,1,1.0,0,0,0,0.0,0.0,0.0,0.5,98.67403314917127,100,10.71428571428571,100.0,50.0,83.76795580110496,Good,100.0,0.009856262833675565,0.0,0,0,0.0,0.050256410256410255
OPRREC_0000297,ALAT_001,2025-07-06,Shift 2,14:00:00,16:20:00,Maintenance,2.34,Coal,0.0,0,OPR_060,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,2.34,0.09749999999999999,0,1,0,0,9.95,9.95,1.4214285714285713,2.176105083246977,1.0,0,0,1,2.0,0,0,0,0.0,0.0,0.0,0.3333333333333333,98.67403314917127,100,13.928571428571434,100.0,33.33333333333333,83.05128913443829,Good,100.0,0.012813141683778234,0.0,0,0,0.0,0.050256410256410255
OPRREC_0000535,ALAT_001,2025-07-10,Shift 2,14:00:00,20:46:00,Beroperasi,6.78,Coal,813.0,9,OPR_097,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,6.78,0.28250000000000003,0,0,0,0,16.73,16.73,2.39,2.4810532037826194,4.0,0,0,0,2.0,0,0,1,0.0,0.0,0.0,0.5,98.67403314917127,100,40.35714285714287,100.0,50.0,87.91795580110497,Good,100.0,0.0371252566735113,0.0,0,0,0.0,0.050256410256410255
OPRREC_0000611,ALAT_001,2025-07-11,Shift 1,06:00:00,13:49:00,Beroperasi,7.82,Coal,538.5,6,OPR_040,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,7.82,0.32583333333333336,0,0,0,0,24.55,24.55,3.507142857142857,2.6949953617770848,1.0,0,0,0,2.0,0,0,1,0.0,0.0,0.0,0.6,98.67403314917127,100,46.54761904761906,100.0,60.0,89.48462246777163,Good,100.0,0.04281998631074607,0.0,0,0,0.0,0.050256410256410255
OPRREC_0000913,ALAT_001,2025-07-17,Shift 2,14:00:00,18:58:00,Beroperasi,4.98,Coal,1063.8,14,OPR_083,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,4.98,0.20750000000000002,0,0,0,0,29.53,29.53,4.218571428571429,2.4106465246208675,6.0,0,0,0,2.0,0,0,1,0.0,0.0,0.0,0.6666666666666666,98.67403314917127,100,29.64285714285715,100.0,66.66666666666666,87.58462246777165,Good,100.0,0.027268993839835734,0.0,0,0,0.0,0.050256410256410255
OPRREC_0001117,ALAT_001,2025-07-20,Shift 3,22:00:00,01:29:00,Beroperasi,3.49,Coal,506.2,7,OPR_040,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,3.49,0.14541666666666667,0,1,0,0,33.02,33.02,4.717142857142858,2.2661620586777276,3.0,0,0,0,2.0,0,0,1,0.0,0.0,0.0,0.7142857142857143,98.67403314917127,100,20.77380952380952,100.0,71.42857142857143,86.67628913443829,Good,100.0,0.01911019849418207,0.0,0,0,0.0,0.050256410256410255
OPRREC_0001118,ALAT_001,2025-07-20,Shift 1,06:00:00,12:59:00,Beroperasi,6.99,Coal,1425.2,18,OPR_018,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,6.99,0.29125,0,0,0,0,34.2,40.01,4.885714285714286,2.400887732644304,0.0,0,0,0,2.0,0,0,1,0.0,0.0,0.0,0.7142857142857143,98.67403314917127,100,41.60714285714286,100.0,71.42857142857143,89.59295580110498,Good,100.0,0.038275154004106776,0.0,0,0,0.0,0.050256410256410255
OPRREC_0001220,ALAT_001,2025-07-22,Shift 3,22:00:00,03:00:00,Beroperasi,5.01,Coal,486.6,6,OPR_125,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,5.01,0.20875,0,0,0,0,37.41,45.02,5.344285714285713,1.9835730147292046,2.0,0,0,0,2.0,0,0,1,0.0,0.0,0.0,0.8571428571428571,98.67403314917127,100,29.821428571428577,100.0,85.71428571428571,88.94295580110497,Good,100.0,0.027433264887063654,0.0,0,0,0.0,0.050256410256410255
OPRREC_0001300,ALAT_001,2025-07-23,Shift 1,06:00:00,12:21:00,Beroperasi,6.36,Coal,861.0,12,OPR_044,PORT,2025-10-18,0.0,Dump Truck,Baik,48,1.5768725361366622,0.13141683778234087,0,0,1,6.36,0.265,0,0,0,0,41.43,51.38,5.918571428571428,1.4891096732771631,1.0,0,0,0,2.0,0,0,1,0.0,0.0,0.0,1.0,98.67403314917127,100,37.85714285714287,100.0,100.0,91.06795580110497,Good,100.0,0.034825462012320334,0.0,0,0,0.0,0.050256410256410255
