id_record,id_alat,tanggal_operasi,shift,jam_mulai,jam_selesai,status_operasi,durasi_jam,material_dipindah,total_muatan_ton,jumlah_ritase,id_operator,lokasi_kode,tipe_alat,model_alat,kapasitas_default_ton,departemen,umur_tahun,kondisi,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,petir_count,cycle_time_avg_jam,ritase_per_jam,ton_per_jam,label_risk_delay
OPRREC_0000001,ALAT_047,2025-07-01,Shift 2,14:00:00,17:43:00,Standby,3.72,Overburden,0.0,0,OPR_046,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,,0.0,0.0,0
OPRREC_0000002,ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,5.33,Overburden,1653.1,17,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0.3135294117647059,3.189493433395872,310.15009380863034,0
OPRREC_0000157,ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,6.5,Overburden,1636.6,16,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,2.4615384615384617,251.78461538461536,0
OPRREC_0000158,ALAT_047,2025-07-03,Shift 1,06:00:00,09:42:00,Beroperasi,3.7,Overburden,1902.4,16,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.23125,4.324324324324324,514.1621621621622,0
OPRREC_0000309,ALAT_047,2025-07-06,Shift 3,22:00:00,02:25:00,Beroperasi,4.42,Overburden,1783.8,17,OPR_025,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,9.1,0.41,Ringan,25.7,32.6,82.0,1.8,5.2,0,0.26,3.8461538461538463,403.57466063348414,0
OPRREC_0000391,ALAT_047,2025-07-07,Shift 1,06:00:00,13:00:00,Beroperasi,7.0,Overburden,385.7,4,OPR_007,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.75,0.5714285714285714,55.1,1
OPRREC_0000392,ALAT_047,2025-07-07,Shift 3,22:00:00,05:49:00,Beroperasi,7.82,Overburden,489.6,5,OPR_062,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.13,Cerah,24.6,31.5,65.1,0.6,1.5,0,1.564,0.639386189258312,62.608695652173914,1
OPRREC_0000403,ALAT_047,2025-07-08,Shift 3,22:00:00,02:58:00,Beroperasi,4.97,Overburden,2045.8,18,OPR_056,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,0.2761111111111111,3.6217303822937628,411.6297786720322,0
OPRREC_0000404,ALAT_047,2025-07-08,Shift 1,06:00:00,09:37:00,Maintenance,3.62,Overburden,0.0,0,OPR_122,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.04,Cerah,23.8,29.1,74.3,2.7,4.7,0,,0.0,0.0,0
OPRREC_0000481,ALAT_047,2025-07-09,Shift 3,22:00:00,03:34:00,Beroperasi,5.57,Overburden,921.1,10,OPR_108,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,45.8,0.87,Lebat,24.1,29.2,93.6,4.3,6.7,0,0.557,1.7953321364452424,165.36804308797127,0
