id_pemuatan,id_kapal,id_stockpile_asal,waktu_sandar_aktual,waktu_mulai_muat,waktu_selesai_muat,waktu_berangkat,total_muatan_final,alasan_delay,nama_kapal,tipe_kapal,eta_jadwal,tujuan_pelabuhan,nama_customer,rencana_muatan,tanggal_operasi,id_cuaca,tanggal_pelabuhan,lokasi_kode,latitude,longitude,zona_waktu,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,angin_arah_derajat,tekanan_hpa_avg,visibilitas_km_avg,wet_bulb_c,petir_count,id_snapshot,tanggal_snapshot,total_kuantitas_ton,calorific_value,total_moisture,delay_vs_eta_jam,label_telat,label_delay_weather
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Panamax,2025-07-29 03:57:00,"Tanjung Bin, Malaysia",India Energy Traders,20000.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-646.1,0,0
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Handysize,2025-08-08 01:14:00,"Johor Port, Malaysia",India Energy Traders,6666.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-883.3833333333333,0,0
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Supramax,2025-09-18 19:32:00,"PLTU Jawa 7, Indonesia",PT Nusantara Power,13333.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-1885.6833333333334,0,0
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Ultramax,2025-09-22 22:27:00,"PLTU Suralaya, Indonesia",PT IndoPower Energi,18333.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-1984.6,0,0
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Ultramax,2025-10-09 21:47:00,"PLTU Jawa 7, Indonesia",Siam Cement Group,18333.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-2391.9333333333334,0,0
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Ultramax,2025-10-15 17:17:00,"Vung Ang Port, Vietnam",PT IndoPower Energi,18333.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-2531.4333333333334,0,0
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Supramax,2025-10-20 20:49:00,"PLTU Jawa 7, Indonesia",Global Steel Ltd.,13333.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-2654.9666666666667,0,0
LOAD_000001,KPL_001,STK_A,2025-07-01 14:00:00,2025-07-01 14:10:00,2025-07-02 05:05:00,2025-07-02 05:51:00,21275,,MV Borneo Star,Handysize,2025-10-26 05:15:00,"Tanjung Bin, Malaysia",Global Steel Ltd.,6666.0,2025-07-01,CWC_20250701_PORT,2025-07-01,PORT,-1.93,116.95,Asia/Makassar,0.0,0.04,Cerah,24.4,28.7,73.2,2.0,4.0,287,1014.1,9.3,22.8,2,,,,,,-2783.4,0,0
LOAD_000002,KPL_002,STK_C,2025-07-04 09:15:00,2025-07-04 09:25:00,2025-07-05 03:51:00,2025-07-05 04:37:00,28161,,MV Mahakam Queen,Panamax,2025-07-04 03:53:00,"Johor Port, Malaysia",Siam Cement Group,20000.0,2025-07-04,CWC_20250704_PORT,2025-07-04,PORT,-1.93,116.95,Asia/Makassar,15.2,0.66,Sedang,23.3,29.8,87.0,2.7,4.2,268,1007.4,6.3,24.8,0,,,,,,24.733333333333334,1,0
LOAD_000002,KPL_002,STK_C,2025-07-04 09:15:00,2025-07-04 09:25:00,2025-07-05 03:51:00,2025-07-05 04:37:00,28161,,MV Mahakam Queen,Ultramax,2025-07-15 00:41:00,"Sriracha Port, Thailand",Malaysia Utility Bhd.,18333.0,2025-07-04,CWC_20250704_PORT,2025-07-04,PORT,-1.93,116.95,Asia/Makassar,15.2,0.66,Sedang,23.3,29.8,87.0,2.7,4.2,268,1007.4,6.3,24.8,0,,,,,,-236.06666666666666,0,0
