id_alat,tanggal_operasi,shift,jam_mulai,jam_selesai,status_operasi,material_dipindah,id_operator,lokasi_kode,tipe_alat,model_alat,kapasitas_default_ton,departemen,umur_tahun,kondisi,hujan_mm,prob_hujan,intensitas_hujan,suhu_min_c,suhu_max_c,kelembaban_rh_avg,angin_kecepatan_avg_ms,angin_gust_max_ms,petir_count,cycle_time_avg_jam,label_risk_delay,prev_cycle_time,avg_last_3_cycles,jam_operasi,hujan_deras
ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,Overburden,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0.3135294117647059,0,0.3135294117647059,0.3135294117647059,6,0
ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,Overburden,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0.3135294117647059,0,0.3135294117647059,0.3135294117647059,6,0
ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,Overburden,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0.3135294117647059,0,0.3135294117647059,0.3135294117647059,6,0
ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,Overburden,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0.3135294117647059,0,0.3135294117647059,0.3135294117647059,6,0
ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,Overburden,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0.3135294117647059,0,0.3135294117647059,0.3135294117647059,6,0
ALAT_047,2025-07-01,Shift 1,06:00:00,11:19:00,Beroperasi,Overburden,OPR_083,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,0.0,0.01,Cerah,25.0,30.4,71.3,2.3,4.6,0,0.3135294117647059,0,0.3135294117647059,0.3135294117647059,6,0
ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,Overburden,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,0,0.3135294117647059,0.3444362745098039,22,0
ALAT_047,2025-07-03,Shift 1,06:00:00,09:42:00,Beroperasi,Overburden,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.23125,0,0.40625,0.3170098039215687,6,0
ALAT_047,2025-07-03,Shift 3,22:00:00,04:30:00,Beroperasi,Overburden,OPR_022,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.40625,0,0.23125,0.34791666666666665,22,0
ALAT_047,2025-07-03,Shift 1,06:00:00,09:42:00,Beroperasi,Overburden,OPR_135,PIT_A,Dump Truck,CAT 785C,110.5,Overburden Hauling,7.9,Baik,3.2,0.45,Ringan,24.3,30.5,75.5,1.5,2.7,0,0.23125,0,0.40625,0.28958333333333336,6,0
