feature,importance
combined_risk_score,0.5018305
equipment_health_score,0.2192316
durasi_jam,0.05755227
jumlah_ritase,0.04407474
health_score_breakdown,0.0403797
daily_usage_hours,0.031305563
health_score_usage,0.02383996
total_muatan_ton,0.022823004
breakdown_rate_30d,0.019357994
breakdown_history_count,0.013280896
utilization_rate,0.010237194
kapasitas_default_ton,0.004167468
days_since_last_op,0.0040963027
cumulative_hours_30d,0.0040171295
umur_tahun,0.0038056802
equipment_age_years,0.0
high_age_risk,0.0
high_usage_flag,0.0
overdue_maintenance_flag,0.0
health_score_age,0.0
health_score_maintenance,0.0
age_usage_interaction,0.0
