feature,importance
speed_lag_1d,0.27521306
friction_risk_score,0.25298625
indeks_friksi,0.2244087
speed_rolling_mean_7d,0.15639855
speed_rolling_max_7d,0.051433213
speed_drop_pct,0.016606746
Speed drop,0.008126671
speed_rolling_min_7d,0.0058173644
kemiringan_pct,0.0024203225
road_hazard_score,0.0019690508
panjang_segmen_km,0.0009597931
cycle_time_lag_1d,0.0008826744
speed_change_7d,0.00072234264
speed_change_1d,0.00062170054
cycle_time_rolling_mean_7d,0.00049510784
batas_kecepatan_km_jam,0.00036938043
speed_lag_7d,0.00015775822
slope_water_interaction,7.4355004e-05
kedalaman_air_cm,3.968526e-05
speed_volatility_7d,3.897914e-05
rainfall_friction_interaction,3.578388e-05
speed_rolling_std_7d,3.533038e-05
daily_rainfall,3.3029817e-05
cycle_time_lag_7d,2.911443e-05
speed_lag_14d,2.5628222e-05
cumulative_rainfall_3d,1.6391305e-05
hour_sin,1.5088054e-05
hour,1.3601316e-05
cumulative_rainfall_7d,1.2670351e-05
hour_cos,9.3076715e-06
ritase_terobservasi,7.95065e-06
day_of_week,7.632695e-06
month,6.969653e-06
day_cos,4.9849045e-06
day_sin,3.4968127e-06
weekend_rain_flag,1.3126381e-06
wet_condition_flag,0.0
is_weekend,0.0
