feature,importance
combined_risk_score,0.59506536
operating_flag,0.15965836
breakdown_count_7d,0.092272654
maintenance_activity,0.04925279
idle_flag,0.040381998
daily_usage_hours,0.026871154
durasi_jam,0.022766383
jumlah_ritase,0.011048037
breakdown_rate_30d,0.001900905
health_score_breakdown,0.0003395772
breakdown_count_30d,0.00022911174
condition_score,0.00013963124
health_score_efficiency,5.9711587e-05
usage_variance_7d,1.4346853e-05
utilization_rate,0.0
high_age_risk,0.0
equipment_age_months,0.0
equipment_age_years,0.0
equipment_age_days,0.0
umur_tahun,0.0
total_muatan_ton,0.0
new_equipment,0.0
mid_age_risk,0.0
cumulative_hours_30d,0.0
avg_daily_hours_7d,0.0
overwork_flag,0.0
low_usage_flag,0.0
high_usage_flag,0.0
maintenance_count_30d,0.0
standby_flag,0.0
overdue_maintenance_flag,0.0
critical_overdue_flag,0.0
days_since_last_record,0.0
cumulative_hours_7d,0.0
health_score_age,0.0
operating_rate_7d,0.0
health_score_maintenance,0.0
health_score_usage,0.0
age_usage_interaction,0.0
equipment_health_score,0.0
age_breakdown_risk,0.0
critical_risk_flag,0.0
degradation_risk_flag,0.0
type_risk_profile,0.0
