feature,importance
breakdown_rate_30d,0.6368243570644282
durasi_jam,0.3563778414812135
health_score_breakdown,0.3433271262929368
daily_usage_hours,0.27259205738195497
health_score_usage,0.17362745505547694
utilization_rate,0.1357257171953808
cumulative_hours_30d,0.08676805383539872
total_muatan_ton,0.06761133881706086
breakdown_history_count,0.0482409595369457
age_usage_interaction,0.01579201705577269
kapasitas_default_ton,0.01193786191874272
umur_tahun,0.010886039575128419
breakdown_flag,0.006430494135440486
jumlah_ritase,0.0
equipment_age_years,0.0
days_since_last_op,0.0
high_age_risk,0.0
high_usage_flag,0.0
overdue_maintenance_flag,0.0
health_score_age,0.0
health_score_maintenance,0.0
combined_risk_score,0.0
